Group,BuyerShortName,Country,Commodity,Identifier,IdentifierType,DistributorId,Address,City/Suburb,State,Postcode,Cost Code,Annual Load,Load Unit,Incumbent,Est. Last Year Spend,Currency Unit,Rate Unit,ActewAGL Total,AGL Total,Alinta Total,Aurora Total,CovauEnergy Total,ElysianEnergy Total,EnergyAustralia Total,ERM Total,Infigen Total,Momentum Total,NextEnergy Total,Origin Total,PerthEnergy Total,Simply Total,Best Retailer,Best Retailer Total
C&I:ACT,Toll,AU,Electricity,7001192922,NMI,ACTEWP,Sawmill Circuit,HUME,AU:ACT,2620,1012941,239333.56,kWh,Momentum,44002.94,AUD,c/kWh,46134.50716,0,47762.17716,0,0,0,46052.83716,0,45080.30716,45703.45716,53671.87716,45406.35716,0,47577.75716,Infigen,45080.30716
C&I:NSW,Toll,AU,Electricity,4310896316,NMI,INTEGP,"2 ALSPEC PL,  12 WALLGROVE Road",EASTERN CREEK,AU:NSW,2766,3MOMEN97,2774381.19,kWh,Momentum,460824.7,AUD,c/kWh,0,387905.02,383529.02,0,470318.73,505655.48,392516.31,383413.02,379730.07,380712.99,482992.33,382658.5,0,398419.26,Infigen,379730.07
C&I:NSW,Toll,AU,Electricity,4311164473,NMI,INTEGP,7 WILLIAM DEAN Street,EASTERN CREEK,AU:NSW,2766,1012941,1987735.97,kWh,Momentum,334908.46,AUD,c/kWh,0,291385.18,292291.02,0,352502.48,374065.12,294553.29,290762.3,285355.06,286391.63,360418.18,287962.74,0,299051.03,Infigen,285355.06
C&I:NSW,Toll,AU,Electricity,4311271631,NMI,INTEGP,"5, 34 Yarrunga Street",PRESTONS,AU:NSW,2170,3MOENE04,1635086.86,kWh,Momentum,257494.06,AUD,c/kWh,0,223847.35,221915.35,0,272370.91,290540.86,226449.57,221241.68,218645.99,219209.54,281065.98,220227.54,0,230067.97,Infigen,218645.99
C&I:NSW,Toll,AU,Electricity,4311163103,NMI,INTEGP,"Lot 30 & 31(DP 1161771) Huntingwood Drive,  7 WILLIAM DEAN Street",EASTERN CREEK,AU:NSW,2766,1012941,1382365.44,kWh,Momentum,229344.51,AUD,c/kWh,0,198273.9,197823.82,0,240054.3,254951.84,200342.51,196830.26,193868.9,194584.01,246284.91,195571.9,0,203528.87,Infigen,193868.9
C&I:NSW,Toll,AU,Electricity,4311271619,NMI,INTEGP,"2, 34 Yarrunga Street",PRESTONS,AU:NSW,2170,3MOENE03,959570.39,kWh,Momentum,160551.01,AUD,c/kWh,0,142389.05,141122.92,0,170004.74,183215.36,143727.4,140399.56,139059.55,139407.3,175939.97,139881.25,0,145940.49,Infigen,139059.55
C&I:NSW,Toll,AU,Electricity,4310940210,NMI,INTEGP,5 Southbridge Street,EASTERN CREEK,AU:NSW,2766,1012941,865026.66,kWh,Momentum,150324.67,AUD,c/kWh,0,166982.756,166065.096,0,193473.096,160734.95,168043.046,165417.116,164075.136,164779.936,196635.326,165466.916,0,170215.836,Infigen,164075.136
C&I:NSW,Toll,AU,Electricity,4103924376,NMI,ENERGYAP,McPherson Street,BANKSMEADOW,AU:NSW,2019,1012941,873325.29,kWh,Momentum,136386.34,AUD,c/kWh,0,124998.97,124082.3,0,152130.28,0,126017.54,123497.67,122156.99,123009.64,154371.61,123806.18,0,128246.95,Infigen,122156.99
C&I:NSW,Toll,AU,Electricity,4103924375,NMI,ENERGYAP,McPherson Street,BANKSMEADOW,AU:NSW,2019,1012941,862211.62,kWh,Momentum,153572.15,AUD,c/kWh,0,132918.94,132314.95,0,158039.08,0,134011.08,131477.91,129958.64,130447.96,162453.59,130966.99,0,136072.48,Infigen,129958.64
C&I:NSW,Toll,AU,Electricity,4311105297,NMI,INTEGP,71 Byron Road,GUILDFORD,AU:NSW,2161,3MOMEN66,738621.55,kWh,Momentum,137585.43,AUD,c/kWh,0,116282.11,115172.93,0,135190.59,151053.3,117316.6,114277.74,113391.97,113259.26,142756.81,113249.98,0,118906.99,Infigen,113391.97
